Date,Station Name,Latitude (y),Longitude (x),Mean Temp (°C),Total Precip (mm),Spd of Max Gust (km/h),Is_Fire_Event,size_ha
2017-07-31,KELOWNA,49.96,-119.38,20.6,0.0,25.0,0.0,0.0
2017-08-01,KELOWNA,49.96,-119.38,21.5,0.0,37.0,0.0,0.0
2017-08-02,KELOWNA,49.96,-119.38,21.3,0.0,33.0,0.0,0.0
2017-08-03,KELOWNA,49.96,-119.38,22.0,0.0,25.0,0.0,0.0
2017-08-04,KELOWNA,49.96,-119.38,22.4,0.0,37.0,0.0,0.0
2017-08-05,KELOWNA,49.96,-119.38,21.5,0.0,25.0,0.0,0.0
2017-08-06,KELOWNA,49.96,-119.38,21.7,0.0,25.0,0.0,0.0
2017-08-07,KELOWNA,49.96,-119.38,21.3,0.0,25.0,0.0,0.0
2017-08-08,KELOWNA,49.96,-119.38,20.4,0.0,25.0,0.0,0.0
2017-08-09,KELOWNA,49.96,-119.38,19.6,0.0,25.0,0.0,0.0
2017-08-10,KELOWNA,49.96,-119.38,20.5,0.0,25.0,0.0,0.0
2017-08-11,KELOWNA,49.96,-119.38,22.6,0.0,25.0,0.0,0.0
2017-08-12,KELOWNA,49.96,-119.38,21.8,0.0,33.0,0.0,0.0
2017-08-13,KELOWNA,49.96,-119.38,22.7,0.0,46.0,0.0,0.0
2017-08-14,KELOWNA,49.96,-119.38,17.7,0.0,35.0,0.0,0.0
2017-08-15,KELOWNA,49.96,-119.38,16.9,0.0,32.0,0.0,0.0
2017-08-16,KELOWNA,49.96,-119.38,19.5,0.0,48.0,0.0,0.0
2017-08-17,KELOWNA,49.96,-119.38,21.2,0.0,33.0,0.0,0.0
2017-08-18,KELOWNA,49.96,-119.38,21.9,0.0,52.0,0.0,0.0
2017-08-19,KELOWNA,49.96,-119.38,18.3,0.0,25.0,0.0,0.0
2017-08-20,KELOWNA,49.96,-119.38,17.8,0.0,33.0,0.0,0.0
2017-08-21,KELOWNA,49.96,-119.38,18.3,0.0,25.0,0.0,0.0
2017-08-22,KELOWNA,49.96,-119.38,21.2,0.0,25.0,0.0,0.0
2017-08-23,KELOWNA,49.96,-119.38,22.5,0.0,35.0,0.0,0.0
2017-08-24,KELOWNA,49.96,-119.38,19.0,0.0,65.0,0.0,0.0
2017-08-24,KELOWNA,49.96,-119.38,19.0,0.0,65.0,1.0,465.0
2017-08-25,KELOWNA,49.96,-119.38,13.2,0.0,25.0,0.0,0.0
2017-08-26,KELOWNA,49.96,-119.38,17.3,0.0,25.0,0.0,0.0
2017-08-27,KELOWNA,49.96,-119.38,20.3,0.0,25.0,0.0,0.0
2017-08-28,KELOWNA,49.96,-119.38,21.6,0.0,25.0,0.0,0.0
2018-07-04,KELOWNA,49.96,-119.38,18.1,0.0,50.0,0.0,0.0
2018-07-05,KELOWNA,49.96,-119.38,22.5,0.0,41.0,0.0,0.0
2018-07-06,KELOWNA,49.96,-119.38,21.8,,25.0,0.0,0.0
2018-07-07,KELOWNA,49.96,-119.38,19.0,0.0,33.0,0.0,0.0
2018-07-08,KELOWNA,49.96,-119.38,18.1,0.0,43.0,0.0,0.0
2018-07-09,KELOWNA,49.96,-119.38,19.0,0.0,33.0,0.0,0.0
2018-07-12,KELOWNA,49.96,-119.38,22.5,0.0,25.0,0.0,0.0
2018-07-13,KELOWNA,49.96,-119.38,23.2,0.0,46.0,0.0,0.0
2018-07-14,KELOWNA,49.96,-119.38,19.8,0.0,54.0,0.0,0.0
2018-07-17,KELOWNA,49.96,-119.38,24.7,2.0,63.0,0.0,0.0
2018-07-17,KELOWNA,49.96,-119.38,24.7,2.0,63.0,1.0,1370.3
2018-07-18,KELOWNA,49.96,-119.38,24.6,0.0,41.0,0.0,0.0
2018-07-21,KELOWNA,49.96,-119.38,15.3,0.0,44.0,0.0,0.0
2018-07-22,KELOWNA,49.96,-119.38,19.1,0.0,44.0,0.0,0.0
2018-07-24,KELOWNA,49.96,-119.38,21.7,0.0,46.0,0.0,0.0
2018-07-25,KELOWNA,49.96,-119.38,20.1,0.0,44.0,0.0,0.0
2018-07-26,KELOWNA,49.96,-119.38,22.1,0.0,44.0,0.0,0.0
2018-07-27,KELOWNA,49.96,-119.38,22.2,0.0,41.0,0.0,0.0
2018-07-28,KELOWNA,49.96,-119.38,22.7,0.0,46.0,0.0,0.0
2018-07-29,KELOWNA,49.96,-119.38,23.6,0.0,37.0,0.0,0.0
2018-07-30,KELOWNA,49.96,-119.38,25.8,0.0,25.0,0.0,0.0
2018-07-31,KELOWNA,49.96,-119.38,23.6,0.0,43.0,0.0,0.0
2018-08-01,KELOWNA,49.96,-119.38,24.7,0.0,33.0,0.0,0.0
2018-08-02,KELOWNA,49.96,-119.38,22.0,0.0,65.0,0.0,0.0
2018-08-03,KELOWNA,49.96,-119.38,20.5,0.4,44.0,0.0,0.0
2018-08-04,KELOWNA,49.96,-119.38,19.6,0.0,50.0,0.0,0.0
2018-08-05,KELOWNA,49.96,-119.38,20.9,0.0,37.0,0.0,0.0
2018-08-06,KELOWNA,49.96,-119.38,22.7,0.0,25.0,0.0,0.0
2018-08-07,KELOWNA,49.96,-119.38,21.9,0.0,37.0,0.0,0.0
2018-08-08,KELOWNA,49.96,-119.38,23.5,0.0,25.0,0.0,0.0
2018-08-09,KELOWNA,49.96,-119.38,24.9,0.0,25.0,0.0,0.0
2018-08-10,KELOWNA,49.96,-119.38,24.0,0.0,37.0,0.0,0.0
2018-08-11,KELOWNA,49.96,-119.38,21.7,0.2,70.0,0.0,0.0
2018-08-12,KELOWNA,49.96,-119.38,15.4,2.3,37.0,0.0,0.0
2018-08-13,KELOWNA,49.96,-119.38,15.9,0.0,25.0,0.0,0.0
2018-08-14,KELOWNA,49.96,-119.38,15.7,0.0,41.0,0.0,0.0
2018-08-15,KELOWNA,49.96,-119.38,18.9,0.0,33.0,0.0,0.0
2018-08-16,KELOWNA,49.96,-119.38,20.9,0.0,33.0,0.0,0.0
2018-08-17,KELOWNA,49.96,-119.38,20.7,0.0,37.0,0.0,0.0
2018-08-18,KELOWNA,49.96,-119.38,16.4,0.0,37.0,0.0,0.0
2018-08-19,KELOWNA,49.96,-119.38,15.8,0.0,25.0,0.0,0.0
2018-08-20,KELOWNA,49.96,-119.38,18.2,0.0,50.0,0.0,0.0
2018-08-21,KELOWNA,49.96,-119.38,19.1,0.0,25.0,0.0,0.0
2018-08-22,KELOWNA,49.96,-119.38,18.6,0.0,25.0,0.0,0.0
2018-08-23,KELOWNA,49.96,-119.38,19.4,0.0,46.0,0.0,0.0
2018-08-24,KELOWNA,49.96,-119.38,16.0,0.0,32.0,0.0,0.0
2018-08-25,KELOWNA,49.96,-119.38,13.3,0.0,41.0,0.0,0.0
2018-08-26,KELOWNA,49.96,-119.38,12.8,3.2,25.0,0.0,0.0
2018-08-27,KELOWNA,49.96,-119.38,15.3,1.9,35.0,0.0,0.0
2018-08-28,KELOWNA,49.96,-119.38,17.6,0.0,25.0,0.0,0.0
2018-08-31,KELOWNA,49.96,-119.38,16.7,0.0,43.0,0.0,0.0
2019-07-01,KELOWNA,49.96,-119.38,19.0,0.0,52.0,0.0,0.0
2019-07-02,KELOWNA,49.96,-119.38,18.9,1.7,37.0,0.0,0.0
2019-07-03,KELOWNA,49.96,-119.38,17.9,0.0,41.0,0.0,0.0
2019-07-04,KELOWNA,49.96,-119.38,18.1,3.6,46.0,0.0,0.0
2019-07-05,KELOWNA,49.96,-119.38,16.7,9.1,45.0,0.0,0.0
2019-07-06,KELOWNA,49.96,-119.38,18.9,1.4,35.0,0.0,0.0
2019-07-07,KELOWNA,49.96,-119.38,18.1,0.0,39.0,0.0,0.0
2019-07-08,KELOWNA,49.96,-119.38,17.8,0.0,32.0,0.0,0.0
2019-07-09,KELOWNA,49.96,-119.38,19.9,0.0,45.0,0.0,0.0
2019-07-10,KELOWNA,49.96,-119.38,21.9,4.0,41.0,0.0,0.0
2019-07-11,KELOWNA,49.96,-119.38,21.3,0.0,39.0,0.0,0.0
2019-07-12,KELOWNA,49.96,-119.38,21.0,0.0,33.0,0.0,0.0
2019-07-13,KELOWNA,49.96,-119.38,20.2,0.0,42.0,0.0,0.0
2019-07-14,KELOWNA,49.96,-119.38,22.1,0.0,35.0,0.0,0.0
2019-07-15,KELOWNA,49.96,-119.38,20.3,1.0,54.0,0.0,0.0
2019-07-17,KELOWNA,49.96,-119.38,20.2,4.2,46.0,0.0,0.0
2019-07-18,KELOWNA,49.96,-119.38,15.7,5.6,65.0,0.0,0.0
2019-07-19,KELOWNA,49.96,-119.38,15.3,0.2,35.0,0.0,0.0
2019-07-20,KELOWNA,49.96,-119.38,17.6,0.2,35.0,0.0,0.0
2019-07-21,KELOWNA,49.96,-119.38,18.7,0.0,35.0,0.0,0.0
2019-07-23,KELOWNA,49.96,-119.38,20.2,0.0,46.0,0.0,0.0
2019-07-24,KELOWNA,49.96,-119.38,18.6,4.1,45.0,0.0,0.0
2019-07-25,KELOWNA,49.96,-119.38,16.8,0.0,39.0,0.0,0.0
2019-07-26,KELOWNA,49.96,-119.38,21.5,0.0,42.0,0.0,0.0
2019-07-27,KELOWNA,49.96,-119.38,20.7,0.2,59.0,0.0,0.0
2019-07-28,KELOWNA,49.96,-119.38,17.9,0.0,42.0,0.0,0.0
2019-07-29,KELOWNA,49.96,-119.38,20.3,0.0,33.0,0.0,0.0
2019-07-30,KELOWNA,49.96,-119.38,21.7,0.0,41.0,0.0,0.0
2019-07-31,KELOWNA,49.96,-119.38,20.5,0.0,25.0,0.0,0.0
2019-08-01,KELOWNA,49.96,-119.38,21.4,0.0,32.0,0.0,0.0
2019-08-02,KELOWNA,49.96,-119.38,21.4,0.0,50.0,0.0,0.0
2019-08-03,KELOWNA,49.96,-119.38,17.3,0.0,42.0,0.0,0.0
2019-08-04,KELOWNA,49.96,-119.38,18.8,0.0,42.0,0.0,0.0
2019-08-05,KELOWNA,49.96,-119.38,21.0,0.0,41.0,0.0,0.0
2019-08-06,KELOWNA,49.96,-119.38,22.3,0.0,45.0,0.0,0.0
2019-08-07,KELOWNA,49.96,-119.38,23.0,0.0,35.0,0.0,0.0
2019-08-08,KELOWNA,49.96,-119.38,23.7,0.0,25.0,0.0,0.0
2019-08-09,KELOWNA,49.96,-119.38,22.1,0.0,46.0,0.0,0.0
2019-08-10,KELOWNA,49.96,-119.38,21.8,0.0,39.0,0.0,0.0
2019-08-11,KELOWNA,49.96,-119.38,18.4,11.8,35.0,0.0,0.0
2019-08-12,KELOWNA,49.96,-119.38,20.9,0.2,37.0,0.0,0.0
2019-08-13,KELOWNA,49.96,-119.38,19.3,0.0,42.0,0.0,0.0
2019-08-14,KELOWNA,49.96,-119.38,20.1,0.0,39.0,0.0,0.0
2019-08-15,KELOWNA,49.96,-119.38,20.1,0.0,33.0,0.0,0.0
2019-08-16,KELOWNA,49.96,-119.38,21.4,0.0,39.0,0.0,0.0
2019-08-17,KELOWNA,49.96,-119.38,17.6,0.0,42.0,0.0,0.0
2019-08-18,KELOWNA,49.96,-119.38,20.5,0.0,42.0,0.0,0.0
2019-08-19,KELOWNA,49.96,-119.38,19.0,0.0,25.0,0.0,0.0
2019-08-20,KELOWNA,49.96,-119.38,19.4,0.0,25.0,0.0,0.0
2019-08-21,KELOWNA,49.96,-119.38,19.1,0.4,37.0,0.0,0.0
2019-08-22,KELOWNA,49.96,-119.38,18.1,0.0,41.0,0.0,0.0
2019-08-23,KELOWNA,49.96,-119.38,14.5,0.7,39.0,0.0,0.0
2019-08-24,KELOWNA,49.96,-119.38,17.4,0.0,50.0,0.0,0.0
2019-08-25,KELOWNA,49.96,-119.38,17.9,1.3,32.0,0.0,0.0
2019-08-26,KELOWNA,49.96,-119.38,16.2,0.0,35.0,0.0,0.0
2019-08-27,KELOWNA,49.96,-119.38,17.6,0.0,25.0,0.0,0.0
2019-08-28,KELOWNA,49.96,-119.38,19.6,0.0,50.0,0.0,0.0
2019-08-29,KELOWNA,49.96,-119.38,20.0,0.0,35.0,0.0,0.0
2019-08-30,KELOWNA,49.96,-119.38,22.0,0.0,25.0,0.0,0.0
2019-08-31,KELOWNA,49.96,-119.38,21.5,0.2,50.0,0.0,0.0
2020-07-01,KELOWNA,49.96,-119.38,14.1,9.1,39.0,0.0,0.0
2020-07-02,KELOWNA,49.96,-119.38,17.4,2.2,41.0,0.0,0.0
2020-07-03,KELOWNA,49.96,-119.38,13.9,0.0,33.0,0.0,0.0
2020-07-04,KELOWNA,49.96,-119.38,16.9,0.0,25.0,0.0,0.0
2020-07-05,KELOWNA,49.96,-119.38,16.8,0.0,35.0,0.0,0.0
2020-07-06,KELOWNA,49.96,-119.38,20.1,0.0,52.0,0.0,0.0
2020-07-07,KELOWNA,49.96,-119.38,16.9,4.4,35.0,0.0,0.0
2020-07-08,KELOWNA,49.96,-119.38,19.4,0.0,32.0,0.0,0.0
2020-07-09,KELOWNA,49.96,-119.38,16.4,0.0,25.0,0.0,0.0
2020-07-10,KELOWNA,49.96,-119.38,17.5,0.0,25.0,0.0,0.0
2020-07-11,KELOWNA,49.96,-119.38,17.8,0.0,46.0,0.0,0.0
2020-07-12,KELOWNA,49.96,-119.38,15.5,0.2,68.0,0.0,0.0
2020-07-13,KELOWNA,49.96,-119.38,13.8,0.0,25.0,0.0,0.0
2020-07-14,KELOWNA,49.96,-119.38,18.0,0.0,35.0,0.0,0.0
2020-07-15,KELOWNA,49.96,-119.38,19.7,0.0,37.0,0.0,0.0
2020-07-16,KELOWNA,49.96,-119.38,21.0,0.0,48.0,0.0,0.0
2020-07-17,KELOWNA,49.96,-119.38,19.8,0.0,41.0,0.0,0.0
2020-07-18,KELOWNA,49.96,-119.38,19.0,0.0,35.0,0.0,0.0
2020-07-19,KELOWNA,49.96,-119.38,20.1,0.0,45.0,0.0,0.0
2020-07-20,KELOWNA,49.96,-119.38,19.9,0.0,37.0,0.0,0.0
2020-07-21,KELOWNA,49.96,-119.38,23.6,0.0,35.0,0.0,0.0
2020-07-22,KELOWNA,49.96,-119.38,22.5,0.0,35.0,0.0,0.0
2020-07-25,KELOWNA,49.96,-119.38,17.1,0.0,41.0,0.0,0.0
2020-07-26,KELOWNA,49.96,-119.38,19.1,0.0,42.0,0.0,0.0
2020-07-27,KELOWNA,49.96,-119.38,22.3,0.0,25.0,0.0,0.0
2020-07-28,KELOWNA,49.96,-119.38,24.0,0.0,52.0,0.0,0.0
2020-07-29,KELOWNA,49.96,-119.38,22.6,0.0,39.0,0.0,0.0
2020-07-30,KELOWNA,49.96,-119.38,24.2,0.0,35.0,0.0,0.0
2020-07-31,KELOWNA,49.96,-119.38,24.1,0.0,41.0,0.0,0.0
2020-08-01,KELOWNA,49.96,-119.38,25.8,0.0,33.0,0.0,0.0
2020-08-02,KELOWNA,49.96,-119.38,24.2,0.0,41.0,0.0,0.0
2020-08-04,KELOWNA,49.96,-119.38,21.0,0.0,39.0,0.0,0.0
2020-08-05,KELOWNA,49.96,-119.38,23.0,0.0,39.0,0.0,0.0
2020-08-06,KELOWNA,49.96,-119.38,19.7,2.8,48.0,0.0,0.0
2020-08-07,KELOWNA,49.96,-119.38,17.2,5.2,41.0,0.0,0.0
2020-08-08,KELOWNA,49.96,-119.38,18.0,0.0,46.0,0.0,0.0
2020-08-09,KELOWNA,49.96,-119.38,18.2,0.0,35.0,0.0,0.0
2020-08-10,KELOWNA,49.96,-119.38,18.3,0.0,46.0,0.0,0.0
2020-08-11,KELOWNA,49.96,-119.38,18.3,0.0,50.0,0.0,0.0
2020-08-12,KELOWNA,49.96,-119.38,15.1,0.0,39.0,0.0,0.0
2020-08-13,KELOWNA,49.96,-119.38,16.8,0.0,35.0,0.0,0.0
2020-08-14,KELOWNA,49.96,-119.38,18.0,0.0,35.0,0.0,0.0
2020-08-15,KELOWNA,49.96,-119.38,21.3,0.0,32.0,0.0,0.0
2020-08-16,KELOWNA,49.96,-119.38,23.4,0.0,25.0,0.0,0.0
2020-08-17,KELOWNA,49.96,-119.38,27.7,0.0,25.0,0.0,0.0
2020-08-18,KELOWNA,49.96,-119.38,24.4,0.0,50.0,0.0,0.0
2020-08-19,KELOWNA,49.96,-119.38,21.3,0.0,35.0,0.0,0.0
2020-08-20,KELOWNA,49.96,-119.38,21.7,0.0,25.0,0.0,0.0
2020-08-21,KELOWNA,49.96,-119.38,22.6,1.3,52.0,0.0,0.0
2020-08-22,KELOWNA,49.96,-119.38,19.3,1.4,37.0,0.0,0.0
2020-08-23,KELOWNA,49.96,-119.38,16.2,0.0,39.0,0.0,0.0
2020-08-24,KELOWNA,49.96,-119.38,15.8,0.0,48.0,0.0,0.0
2020-08-25,KELOWNA,49.96,-119.38,16.1,0.0,37.0,0.0,0.0
2020-08-26,KELOWNA,49.96,-119.38,16.7,0.0,37.0,0.0,0.0
2020-08-27,KELOWNA,49.96,-119.38,17.4,0.0,35.0,0.0,0.0
2020-08-28,KELOWNA,49.96,-119.38,19.3,0.0,25.0,0.0,0.0
2020-08-29,KELOWNA,49.96,-119.38,17.1,0.0,52.0,0.0,0.0
2020-08-30,KELOWNA,49.96,-119.38,13.8,0.8,50.0,0.0,0.0
2020-08-31,KELOWNA,49.96,-119.38,16.2,0.0,25.0,0.0,0.0
2021-07-01,KELOWNA,49.96,-119.38,30.7,0.0,48.0,0.0,0.0
2021-07-02,KELOWNA,49.96,-119.38,27.0,0.0,37.0,0.0,0.0
2021-07-03,KELOWNA,49.96,-119.38,25.9,0.0,46.0,0.0,0.0
2021-07-04,KELOWNA,49.96,-119.38,24.1,0.0,45.0,0.0,0.0
2021-07-05,KELOWNA,49.96,-119.38,23.0,0.0,59.0,0.0,0.0
2021-07-06,KELOWNA,49.96,-119.38,24.0,0.0,41.0,0.0,0.0
2021-07-07,KELOWNA,49.96,-119.38,21.6,0.2,52.0,0.0,0.0
2021-07-09,KELOWNA,49.96,-119.38,23.5,0.0,25.0,0.0,0.0
2021-07-10,KELOWNA,49.96,-119.38,24.0,0.0,42.0,0.0,0.0
2021-07-11,KELOWNA,49.96,-119.38,23.7,0.0,37.0,0.0,0.0
2021-07-12,KELOWNA,49.96,-119.38,23.6,0.0,39.0,0.0,0.0
2021-07-13,KELOWNA,49.96,-119.38,23.8,0.0,25.0,0.0,0.0
2021-07-14,KELOWNA,49.96,-119.38,25.0,0.0,37.0,0.0,0.0
2021-07-15,KELOWNA,49.96,-119.38,25.0,0.0,32.0,0.0,0.0
2021-07-16,KELOWNA,49.96,-119.38,23.4,0.0,41.0,0.0,0.0
2021-07-17,KELOWNA,49.96,-119.38,23.5,0.0,35.0,0.0,0.0
2021-07-18,KELOWNA,49.96,-119.38,22.3,0.0,37.0,0.0,0.0
2021-07-19,KELOWNA,49.96,-119.38,23.0,0.0,35.0,0.0,0.0
2021-07-20,KELOWNA,49.96,-119.38,22.1,0.0,33.0,0.0,0.0
2021-07-21,KELOWNA,49.96,-119.38,21.9,0.0,45.0,0.0,0.0
2021-07-22,KELOWNA,49.96,-119.38,19.5,0.0,32.0,0.0,0.0
2021-07-23,KELOWNA,49.96,-119.38,19.7,0.0,37.0,0.0,0.0
2021-07-24,KELOWNA,49.96,-119.38,21.7,0.0,25.0,0.0,0.0
2021-07-25,KELOWNA,49.96,-119.38,24.0,0.0,45.0,0.0,0.0
2021-07-26,KELOWNA,49.96,-119.38,23.2,0.0,39.0,0.0,0.0
2021-07-27,KELOWNA,49.96,-119.38,21.3,0.0,39.0,0.0,0.0
2021-07-28,KELOWNA,49.96,-119.38,22.3,0.0,25.0,0.0,0.0
2021-07-29,KELOWNA,49.96,-119.38,23.1,0.0,39.0,0.0,0.0
2021-07-30,KELOWNA,49.96,-119.38,24.0,0.0,32.0,0.0,0.0
2021-07-31,KELOWNA,49.96,-119.38,24.2,0.0,35.0,0.0,0.0
2021-08-01,KELOWNA,49.96,-119.38,22.6,2.3,25.0,0.0,0.0
2021-08-02,KELOWNA,49.96,-119.38,23.8,0.0,42.0,0.0,0.0
2021-08-03,KELOWNA,49.96,-119.38,23.9,0.0,37.0,0.0,0.0
2021-08-04,KELOWNA,49.96,-119.38,26.4,0.0,37.0,0.0,0.0
2021-08-05,KELOWNA,49.96,-119.38,24.5,0.0,39.0,0.0,0.0
2021-08-06,KELOWNA,49.96,-119.38,24.4,0.0,50.0,0.0,0.0
2021-08-07,KELOWNA,49.96,-119.38,20.4,1.0,45.0,0.0,0.0
2021-08-08,KELOWNA,49.96,-119.38,17.3,4.9,39.0,0.0,0.0
2021-08-09,KELOWNA,49.96,-119.38,20.9,0.0,25.0,0.0,0.0
2021-08-10,KELOWNA,49.96,-119.38,22.9,0.0,45.0,0.0,0.0
2021-08-11,KELOWNA,49.96,-119.38,24.3,0.0,50.0,0.0,0.0
2021-08-12,KELOWNA,49.96,-119.38,21.8,0.0,25.0,0.0,0.0
2021-08-13,KELOWNA,49.96,-119.38,21.2,0.0,25.0,0.0,0.0
2021-08-14,KELOWNA,49.96,-119.38,22.5,0.0,25.0,0.0,0.0
2021-08-15,KELOWNA,49.96,-119.38,25.0,0.0,54.0,0.0,0.0
2021-08-15,KELOWNA,49.96,-119.38,25.0,0.0,54.0,1.0,976.0
2021-08-16,KELOWNA,49.96,-119.38,21.7,0.7,52.0,0.0,0.0
2021-08-17,KELOWNA,49.96,-119.38,14.4,0.0,33.0,0.0,0.0
2021-08-18,KELOWNA,49.96,-119.38,16.9,0.0,25.0,0.0,0.0
2021-08-19,KELOWNA,49.96,-119.38,20.6,0.0,33.0,0.0,0.0
2021-08-20,KELOWNA,49.96,-119.38,18.7,0.0,37.0,0.0,0.0
2021-08-21,KELOWNA,49.96,-119.38,18.6,0.0,33.0,0.0,0.0
2021-08-22,KELOWNA,49.96,-119.38,16.1,0.7,59.0,0.0,0.0
2021-08-23,KELOWNA,49.96,-119.38,11.6,0.0,35.0,0.0,0.0
2021-08-24,KELOWNA,49.96,-119.38,13.8,0.0,32.0,0.0,0.0
2021-08-25,KELOWNA,49.96,-119.38,16.1,0.0,25.0,0.0,0.0
2021-08-26,KELOWNA,49.96,-119.38,16.4,1.4,59.0,0.0,0.0
2021-08-27,KELOWNA,49.96,-119.38,16.4,9.1,59.0,0.0,0.0
2021-08-28,KELOWNA,49.96,-119.38,16.4,0.0,25.0,0.0,0.0
2021-08-29,KELOWNA,49.96,-119.38,18.5,0.0,25.0,0.0,0.0
2021-08-30,KELOWNA,49.96,-119.38,17.7,0.0,48.0,0.0,0.0
2021-08-31,KELOWNA,49.96,-119.38,13.3,6.8,50.0,0.0,0.0
2022-07-01,KELOWNA,49.96,-119.38,19.6,0.0,39.0,0.0,0.0
2022-07-02,KELOWNA,49.96,-119.38,19.6,0.0,37.0,0.0,0.0
2022-07-03,KELOWNA,49.96,-119.38,15.4,8.7,50.0,0.0,0.0
2022-07-04,KELOWNA,49.96,-119.38,15.3,2.5,50.0,0.0,0.0
2022-07-05,KELOWNA,49.96,-119.38,16.8,0.0,35.0,0.0,0.0
2022-07-06,KELOWNA,49.96,-119.38,17.3,0.5,25.0,0.0,0.0
2022-07-07,KELOWNA,49.96,-119.38,18.9,1.2,25.0,0.0,0.0
2022-07-08,KELOWNA,49.96,-119.38,19.1,0.0,39.0,0.0,0.0
2022-07-09,KELOWNA,49.96,-119.38,19.0,0.5,41.0,0.0,0.0
2022-07-10,KELOWNA,49.96,-119.38,20.8,0.0,50.0,0.0,0.0
2022-07-12,KELOWNA,49.96,-119.38,23.7,0.0,39.0,0.0,0.0
2022-07-13,KELOWNA,49.96,-119.38,21.7,0.0,45.0,0.0,0.0
2022-07-16,KELOWNA,49.96,-119.38,21.4,0.0,42.0,0.0,0.0
2022-07-17,KELOWNA,49.96,-119.38,20.2,0.5,52.0,0.0,0.0
2022-07-18,KELOWNA,49.96,-119.38,20.3,0.0,52.0,0.0,0.0
2022-07-19,KELOWNA,49.96,-119.38,21.3,0.0,41.0,0.0,0.0
2022-07-20,KELOWNA,49.96,-119.38,22.0,0.0,25.0,0.0,0.0
2022-07-21,KELOWNA,49.96,-119.38,22.6,0.0,32.0,0.0,0.0
2022-07-22,KELOWNA,49.96,-119.38,22.5,0.0,33.0,0.0,0.0
2022-07-23,KELOWNA,49.96,-119.38,23.0,0.0,25.0,0.0,0.0
2022-07-24,KELOWNA,49.96,-119.38,22.2,0.0,35.0,0.0,0.0
2022-07-25,KELOWNA,49.96,-119.38,23.9,0.0,42.0,0.0,0.0
2022-07-26,KELOWNA,49.96,-119.38,23.8,0.0,45.0,0.0,0.0
2022-07-27,KELOWNA,49.96,-119.38,25.5,0.0,48.0,0.0,0.0
2022-07-28,KELOWNA,49.96,-119.38,27.7,0.0,58.0,0.0,0.0
2022-07-29,KELOWNA,49.96,-119.38,26.0,0.0,55.0,0.0,0.0
2022-07-30,KELOWNA,49.96,-119.38,25.9,0.0,32.0,0.0,0.0
2022-07-31,KELOWNA,49.96,-119.38,25.0,0.0,39.0,0.0,0.0
2022-08-01,KELOWNA,49.96,-119.38,24.3,0.0,67.0,0.0,0.0
2022-08-02,KELOWNA,49.96,-119.38,24.1,0.0,33.0,0.0,0.0
2022-08-03,KELOWNA,49.96,-119.38,22.9,0.0,63.0,0.0,0.0
2022-08-04,KELOWNA,49.96,-119.38,19.5,2.5,63.0,0.0,0.0
2022-08-05,KELOWNA,49.96,-119.38,16.0,0.0,52.0,0.0,0.0
2022-08-06,KELOWNA,49.96,-119.38,18.2,0.0,33.0,0.0,0.0
2022-08-07,KELOWNA,49.96,-119.38,22.0,0.0,25.0,0.0,0.0
2022-08-08,KELOWNA,49.96,-119.38,22.7,0.0,42.0,0.0,0.0
